X.1,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity,source_file,animal,sex,genotype,slice,hemisphere
1,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0001-0224,483,24.557,5.085,136.03,221.531,135.94,222.059,125,206,21,37,0.538,11861,11861,1.899,0.527,0.835,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
2,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0002-0221,472,24.538,5.058,951.881,223.731,951.669,223.703,939,206,24,31,0.741,11582,11582,1.307,0.765,0.882,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
3,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0003-0220,435,38.798,11.346,234.877,220.031,235.04,219.973,223,208,23,24,0.922,16877,16877,1.119,0.893,0.946,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
4,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0004-0231,532,32.267,8.034,75.447,230.759,75.512,230.586,63,216,25,31,0.826,17166,17166,1.207,0.829,0.92,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
5,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0005-0229,331,37.952,8.725,482.461,228.89,482.661,228.96,473,216,20,26,0.801,12562,12562,1.504,0.665,0.892,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
6,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0006-0252,654,29.11,6.812,1086.752,254.287,1086.726,254.2,1073,231,30,42,0.48,19038,19038,1.714,0.583,0.811,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
7,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0007-0259,597,41.961,15.57,544.941,260.848,545.323,261.384,528,237,30,44,0.418,25051,25051,1.834,0.545,0.737,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
8,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0009-0265,370,35.941,10.446,258.241,265.138,258.197,264.968,248,252,19,26,0.858,13298,13298,1.279,0.782,0.925,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
9,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0010-0269,636,34.92,7.214,686.568,268.321,686.9,268.373,666,257,38,24,0.724,22209,22209,1.63,0.613,0.897,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
10,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0011-0280,773,52.507,24.508,353.963,278.774,353.956,278.788,340,258,26,44,0.735,40588,40588,1.646,0.607,0.92,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
11,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0013-0276,443,34.14,7.207,586.692,275.976,586.573,276.199,576,263,24,27,0.863,15124,15124,1.202,0.832,0.929,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
12,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0014-0283,377,43.294,13.683,403.468,283.272,403.651,283.407,394,269,19,28,0.844,16322,16322,1.452,0.688,0.93,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
13,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0015-0284,417,30.647,6.421,822.368,286.332,822.279,286.452,810,269,24,30,0.543,12780,12780,1.163,0.86,0.818,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
14,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0016-0294,504,44.994,12.07,213.712,294.065,213.706,294.149,202,280,24,28,0.896,22677,22677,1.308,0.764,0.947,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
15,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0018-0315,450,49.278,20.298,193.516,315.731,193.638,315.602,183,302,22,27,0.887,22175,22175,1.245,0.803,0.937,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
16,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0019-0316,468,42.707,10.272,312.69,316.902,312.654,317.016,301,302,23,29,0.856,19987,19987,1.331,0.752,0.933,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
17,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0020-0324,469,47.305,16.815,562.619,322.835,562.683,322.839,549,311,26,26,0.87,22186,22186,1.112,0.899,0.931,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
18,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0021-0335,703,46.686,10.382,617.278,335.119,617.284,335.152,603,317,28,36,0.865,32820,32820,1.297,0.771,0.945,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
19,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0022-0334,641,50.479,19.042,853.363,335.673,853.515,336.142,840,318,30,33,0.774,32357,32357,1.258,0.795,0.905,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
20,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0023-0332,409,40.394,11.721,746.928,332.392,747.066,332.396,735,320,24,25,0.882,16521,16521,1.147,0.872,0.931,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
21,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0024-0335,461,46.51,15.924,672.723,336.29,672.805,336.29,661,322,22,27,0.896,21441,21441,1.323,0.756,0.952,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
22,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0025-0353,1120,57.625,26.846,443.017,351.505,444.585,350.397,414,329,56,49,0.341,64540,64540,2.194,0.456,0.677,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
23,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0026-0347,519,44.333,9.681,307.785,348.594,307.785,348.548,296,330,23,35,0.708,23009,23009,1.752,0.571,0.876,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
24,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0027-0357,1086,55.188,20.21,189.772,359.499,189.316,359.773,165,336,49,42,0.425,59934,59934,1.716,0.583,0.744,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
25,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.tif:0028-0352,384,40.495,12.07,499.286,352.94,499.161,352.884,489,340,21,25,0.914,15550,15550,1.158,0.864,0.938,C2-MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_TRO_PNN-freefloating_juvenile_set1_55194_4M_KO_s2_h2_v2_Merged.tif_rotated.csv,55194_4,M,KO,2,2
