Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit,Animal,Sex,GT,Age P,Slice,Hemisphere
Output\MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_ASTRO_PNN-freefloating_juvenile_set1_52955_3F_HET_s1_h1_Merged (combined).tif,82,255,93,0,3,255,3,255,4,4,1,pixels,5529553,F,HET,30,1,1
Output\MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_ASTRO_PNN-freefloating_juvenile_set1_52955_3F_HET_s2_h1_Merged (combined).tif,72,258,97,0,3,255,3,255,4,4,1,pixels,5529553,F,HET,30,2,1
Output\MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_ASTRO_PNN-freefloating_juvenile_set1_52955_3F_HET_s2_h2_Merged (combined).tif,52,170,63,0,3,255,3,255,4,4,1,pixels,5529553,F,HET,30,2,2
Output\MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_ASTRO_PNN-freefloating_juvenile_set1_55194_2F_HET_s1_h1_Merged (combined).tif,77,164,74,0,3,255,3,255,4,4,1,pixels,551942,F,HET,30,1,1
Output\MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_ASTRO_PNN-freefloating_juvenile_set1_55194_2F_HET_s1_h2_Merged (combined).tif,42,165,46,0,3,255,3,255,4,4,1,pixels,551942,F,HET,30,1,2
Output\MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_ASTRO_PNN-freefloating_juvenile_set1_55194_2F_HET_s3_h1_Merged (combined).tif,75,189,79,0,3,255,3,255,4,4,1,pixels,551942,F,HET,30,3,1
Output\MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_ASTRO_PNN-freefloating_juvenile_set1_55914_5M_HET_s1_h1_Merged (combined).tif,68,175,76,0,3,255,3,255,4,4,1,pixels,551945,M,HET,30,1,1
Output\MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_ASTRO_PNN-freefloating_juvenile_set1_55914_5M_HET_s1_h2_Merged (combined).tif,65,189,74,0,3,255,3,255,4,4,1,pixels,551945,M,HET,30,1,2
Output\MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1_ASTRO_PNN-freefloating_juvenile_set1_55914_5M_HET_s2_h1_Merged (combined).tif,81,186,86,0,3,255,3,255,4,4,1,pixels,551945,M,HET,30,2,1
Output\MAX_TILESCANS_20250219_CTNND2_ASTRO_PNN-freefloating_juvenile_set1__ASTRO_PNN-freefloating_juvenile_set1_52955_1F_WT_s1_h1_Merged (combined).tif,64,293,86,0,3,255,3,255,4,4,1,pixels,529551,F,WT,30,1,1
